Zip_Code,Counts,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
10467,1835,Bronx,NY,40.872265000000006,-73.86936999999999,-5.0,1.0,"40.872265,-73.86937"
10458,1799,Bronx,NY,40.864166,-73.88880999999999,-5.0,1.0,"40.864166,-73.88881"
10456,1742,Bronx,NY,40.829676,-73.90856,-5.0,1.0,"40.829676,-73.90856"
10453,1667,Bronx,NY,40.853017,-73.91214000000001,-5.0,1.0,"40.853017,-73.91214"
10457,1462,Bronx,NY,40.846745,-73.89860999999999,-5.0,1.0,"40.846745,-73.89861"
11212,1375,Brooklyn,NY,40.662191,-73.91328,-5.0,1.0,"40.662191,-73.91328"
10468,1364,Bronx,NY,40.867107,-73.89916,-5.0,1.0,"40.867107,-73.89916"
10460,1354,Bronx,NY,40.84095,-73.88036,-5.0,1.0,"40.84095,-73.88036"
11208,1347,Brooklyn,NY,40.672666,-73.87248000000001,-5.0,1.0,"40.672666,-73.87248"
11207,1342,Brooklyn,NY,40.670874,-73.89424,-5.0,1.0,"40.670874,-73.89424"
11226,1333,Brooklyn,NY,40.645255999999996,-73.95553000000001,-5.0,1.0,"40.645256,-73.95553"
10452,1259,Bronx,NY,40.838745,-73.92234,-5.0,1.0,"40.838745,-73.92234"
11233,1183,Brooklyn,NY,40.676938,-73.91858,-5.0,1.0,"40.676938,-73.91858"
10466,1161,Bronx,NY,40.89095,-73.84702,-5.0,1.0,"40.89095,-73.84702"
10459,1065,Bronx,NY,40.825432,-73.89327,-5.0,1.0,"40.825432,-73.89327"
10462,1020,Bronx,NY,40.842172999999995,-73.85862,-5.0,1.0,"40.842173,-73.85862"
11203,1017,Brooklyn,NY,40.649059,-73.93304,-5.0,1.0,"40.649059,-73.93304"
10472,1000,Bronx,NY,40.830409,-73.86845,-5.0,1.0,"40.830409,-73.86845"
10451,927,Bronx,NY,40.819728999999995,-73.9223,-5.0,1.0,"40.819729,-73.9223"
11213,898,Brooklyn,NY,40.670937,-73.93459,-5.0,1.0,"40.670937,-73.93459"
11691,867,Far Rockaway,NY,40.60002,-73.75962,-5.0,1.0,"40.60002,-73.75962"
11236,851,Brooklyn,NY,40.640527,-73.90361999999999,-5.0,1.0,"40.640527,-73.90362"
11221,805,Brooklyn,NY,40.691234,-73.92636999999999,-5.0,1.0,"40.691234,-73.92637"
11368,757,Corona,NY,40.747106,-73.85838000000001,-5.0,1.0,"40.747106,-73.85838"
11210,697,Brooklyn,NY,40.627946,-73.94552,-5.0,1.0,"40.627946,-73.94552"
10455,661,Bronx,NY,40.815559,-73.90771,-5.0,1.0,"40.815559,-73.90771"
11225,649,Brooklyn,NY,40.662892,-73.95509,-5.0,1.0,"40.662892,-73.95509"
10463,639,Bronx,NY,40.881085999999996,-73.90749,-5.0,1.0,"40.881086,-73.90749"
10469,638,Bronx,NY,40.868643,-73.84735,-5.0,1.0,"40.868643,-73.84735"
10029,622,New York,NY,40.791585999999995,-73.94575,-5.0,1.0,"40.791586,-73.94575"
11434,608,Jamaica,NY,40.674888,-73.7727,-5.0,1.0,"40.674888,-73.7727"
11216,564,Brooklyn,NY,40.680398,-73.94824,-5.0,1.0,"40.680398,-73.94824"
10032,544,New York,NY,40.840686,-73.94154,-5.0,1.0,"40.840686,-73.94154"
10473,535,Bronx,NY,40.818514,-73.85893,-5.0,1.0,"40.818514,-73.85893"
10031,520,New York,NY,40.826201,-73.94879,-5.0,1.0,"40.826201,-73.94879"
11432,514,Jamaica,NY,40.714144,-73.79324,-5.0,1.0,"40.714144,-73.79324"
10033,511,New York,NY,40.848764,-73.93496,-5.0,1.0,"40.848764,-73.93496"
11235,482,Brooklyn,NY,40.583803,-73.95019,-5.0,1.0,"40.583803,-73.95019"
11385,477,Ridgewood,NY,40.703069,-73.89285,-5.0,1.0,"40.703069,-73.89285"
11433,468,Jamaica,NY,40.696538000000004,-73.78734,-5.0,1.0,"40.696538,-73.78734"
10034,461,New York,NY,40.867653000000004,-73.92,-5.0,1.0,"40.867653,-73.92"
11435,459,Jamaica,NY,40.700068,-73.80986,-5.0,1.0,"40.700068,-73.80986"
11234,457,Brooklyn,NY,40.618561,-73.9216,-5.0,1.0,"40.618561,-73.9216"
11206,447,Brooklyn,NY,40.702348,-73.94288,-5.0,1.0,"40.702348,-73.94288"
10454,447,Bronx,NY,40.805968,-73.91628,-5.0,1.0,"40.805968,-73.91628"
10304,440,Staten Island,NY,40.60787,-74.08991,-5.0,1.0,"40.60787,-74.08991"
10461,415,Bronx,NY,40.842917,-73.83819,-5.0,1.0,"40.842917,-73.83819"
10030,413,New York,NY,40.818151,-73.94351,-5.0,1.0,"40.818151,-73.94351"
11230,408,Brooklyn,NY,40.622994,-73.96427,-5.0,1.0,"40.622994,-73.96427"
10037,400,New York,NY,40.813385,-73.93616,-5.0,1.0,"40.813385,-73.93616"
10027,394,New York,NY,40.812665,-73.95499000000001,-5.0,1.0,"40.812665,-73.95499"
11373,391,Elmhurst,NY,40.736076000000004,-73.87804,-5.0,1.0,"40.736076,-73.87804"
11372,388,Jackson Heights,NY,40.750146,-73.88433,-5.0,1.0,"40.750146,-73.88433"
10039,388,New York,NY,40.826181,-73.9371,-5.0,1.0,"40.826181,-73.9371"
10301,386,Staten Island,NY,40.631775,-74.09432,-5.0,1.0,"40.631775,-74.09432"
10035,379,New York,NY,40.802395000000004,-73.93359,-5.0,1.0,"40.802395,-73.93359"
10036,368,New York,NY,40.759510999999996,-73.99019,-5.0,1.0,"40.759511,-73.99019"
10025,365,New York,NY,40.798502,-73.96811,-5.0,1.0,"40.798502,-73.96811"
10040,364,New York,NY,40.858703999999996,-73.92853000000001,-5.0,1.0,"40.858704,-73.92853"
11692,361,Arverne,NY,40.592939,-73.79568,-5.0,1.0,"40.592939,-73.79568"
11214,358,Brooklyn,NY,40.598994,-73.99611,-5.0,1.0,"40.598994,-73.99611"
11209,358,Brooklyn,NY,40.62327,-74.0295,-5.0,1.0,"40.62327,-74.0295"
11224,358,Brooklyn,NY,40.576589,-73.99172,-5.0,1.0,"40.576589,-73.99172"
11377,353,Woodside,NY,40.742869,-73.90377,-5.0,1.0,"40.742869,-73.90377"
11354,346,Flushing,NY,40.767969,-73.82496,-5.0,1.0,"40.767969,-73.82496"
10001,346,New York,NY,40.750741999999995,-73.99653,-5.0,1.0,"40.750742,-73.99653"
11413,339,Springfield Gardens,NY,40.670138,-73.75140999999999,-5.0,1.0,"40.670138,-73.75141"
10019,335,New York,NY,40.765714,-73.9856,-5.0,1.0,"40.765714,-73.9856"
11355,331,Flushing,NY,40.749463,-73.81940999999999,-5.0,1.0,"40.749463,-73.81941"
10002,321,New York,NY,40.717040000000004,-73.987,-5.0,1.0,"40.71704,-73.987"
11229,320,Brooklyn,NY,40.599256,-73.94118,-5.0,1.0,"40.599256,-73.94118"
11223,318,Brooklyn,NY,40.598141999999996,-73.97229,-5.0,1.0,"40.598142,-73.97229"
11412,317,Saint Albans,NY,40.697188,-73.75948000000001,-5.0,1.0,"40.697188,-73.75948"
11220,303,Brooklyn,NY,40.641436,-74.01574000000001,-5.0,1.0,"40.641436,-74.01574"
10009,302,New York,NY,40.727093,-73.97864,-5.0,1.0,"40.727093,-73.97864"
10026,298,New York,NY,40.802853000000006,-73.95470999999999,-5.0,1.0,"40.802853,-73.95471"
11238,296,Brooklyn,NY,40.680145,-73.96257,-5.0,1.0,"40.680145,-73.96257"
11420,288,South Ozone Park,NY,40.673138,-73.81443,-5.0,1.0,"40.673138,-73.81443"
10474,285,Bronx,NY,40.81321,-73.88755,-5.0,1.0,"40.81321,-73.88755"
10475,279,Bronx,NY,40.878522,-73.82540999999999,-5.0,1.0,"40.878522,-73.82541"
11423,265,Hollis,NY,40.714261,-73.76824,-5.0,1.0,"40.714261,-73.76824"
11205,263,Brooklyn,NY,40.694214,-73.96529,-5.0,1.0,"40.694214,-73.96529"
11237,256,Brooklyn,NY,40.703355,-73.91993000000001,-5.0,1.0,"40.703355,-73.91993"
10470,255,Bronx,NY,40.900628999999995,-73.86072,-5.0,1.0,"40.900629,-73.86072"
11422,252,Rosedale,NY,40.662538,-73.73514,-5.0,1.0,"40.662538,-73.73514"
11101,249,Long Island City,NY,40.745340999999996,-73.93907,-5.0,1.0,"40.745341,-73.93907"
10303,247,Staten Island,NY,40.629448,-74.16239,-5.0,1.0,"40.629448,-74.16239"
11418,243,Richmond Hill,NY,40.698485,-73.83365,-5.0,1.0,"40.698485,-73.83365"
11218,243,Brooklyn,NY,40.644552000000004,-73.97595,-5.0,1.0,"40.644552,-73.97595"
11375,236,Forest Hills,NY,40.720535,-73.84581999999999,-5.0,1.0,"40.720535,-73.84582"
11419,232,South Richmond Hill,NY,40.688688,-73.82216,-5.0,1.0,"40.688688,-73.82216"
11211,226,Brooklyn,NY,40.71209,-73.95427,-5.0,1.0,"40.71209,-73.95427"
11367,222,Flushing,NY,40.728614,-73.82145,-5.0,1.0,"40.728614,-73.82145"
11429,219,Queens Village,NY,40.708833,-73.73903,-5.0,1.0,"40.708833,-73.73903"
11204,217,Brooklyn,NY,40.618944,-73.98473,-5.0,1.0,"40.618944,-73.98473"
11374,216,Rego Park,NY,40.724945,-73.8609,-5.0,1.0,"40.724945,-73.8609"
11365,215,Fresh Meadows,NY,40.738983000000005,-73.79209,-5.0,1.0,"40.738983,-73.79209"
10016,211,New York,NY,40.746179999999995,-73.97759,-5.0,1.0,"40.74618,-73.97759"
11201,208,Brooklyn,NY,40.695285999999996,-73.98907,-5.0,1.0,"40.695286,-73.98907"
11219,208,Brooklyn,NY,40.632449,-73.99629,-5.0,1.0,"40.632449,-73.99629"
11421,208,Woodhaven,NY,40.690870000000004,-73.85828000000001,-5.0,1.0,"40.69087,-73.85828"
10314,197,Staten Island,NY,40.606336999999996,-74.14513000000001,-5.0,1.0,"40.606337,-74.14513"
10011,194,New York,NY,40.741012,-74.00012,-5.0,1.0,"40.741012,-74.00012"
11106,192,Astoria,NY,40.762012,-73.93146999999999,-5.0,1.0,"40.762012,-73.93147"
11239,192,Brooklyn,NY,40.645848,-73.87919000000001,-5.0,1.0,"40.645848,-73.87919"
11416,191,Ozone Park,NY,40.683301,-73.8503,-5.0,1.0,"40.683301,-73.8503"
11417,189,Ozone Park,NY,40.675534000000006,-73.84476,-5.0,1.0,"40.675534,-73.84476"
10018,186,New York,NY,40.755101,-73.99337,-5.0,1.0,"40.755101,-73.99337"
10306,185,Staten Island,NY,40.569394,-74.11785,-5.0,1.0,"40.569394,-74.11785"
10022,182,New York,NY,40.759015000000005,-73.96732,-5.0,1.0,"40.759015,-73.96732"
11436,179,Jamaica,NY,40.674146,-73.79687,-5.0,1.0,"40.674146,-73.79687"
11103,170,Astoria,NY,40.762968,-73.91091,-5.0,1.0,"40.762968,-73.91091"
11415,169,Kew Gardens,NY,40.706903000000004,-73.82973,-5.0,1.0,"40.706903,-73.82973"
10128,166,New York,NY,40.781894,-73.95039,-5.0,1.0,"40.781894,-73.95039"
10310,164,Staten Island,NY,40.63212,-74.11551,-5.0,1.0,"40.63212,-74.11551"
11217,163,Brooklyn,NY,40.68209,-73.97783000000001,-5.0,1.0,"40.68209,-73.97783"
11102,160,Astoria,NY,40.771285999999996,-73.92461999999999,-5.0,1.0,"40.771286,-73.92462"
10003,159,New York,NY,40.732509,-73.98935,-5.0,1.0,"40.732509,-73.98935"
10465,159,Bronx,NY,40.825727,-73.81752,-5.0,1.0,"40.825727,-73.81752"
10023,156,New York,NY,40.776099,-73.98285,-5.0,1.0,"40.776099,-73.98285"
10305,153,Staten Island,NY,40.599021,-74.07503,-5.0,1.0,"40.599021,-74.07503"
11104,148,Sunnyside,NY,40.743796,-73.91949,-5.0,1.0,"40.743796,-73.91949"
11105,143,Astoria,NY,40.774685999999996,-73.90816,-5.0,1.0,"40.774686,-73.90816"
11378,142,Maspeth,NY,40.724096,-73.90271,-5.0,1.0,"40.724096,-73.90271"
11694,138,Rockaway Park,NY,40.57649,-73.84721,-5.0,1.0,"40.57649,-73.84721"
10013,135,New York,NY,40.720665999999994,-74.00525999999999,-5.0,1.0,"40.720666,-74.00526"
10024,134,New York,NY,40.786387,-73.97709,-5.0,1.0,"40.786387,-73.97709"
10302,133,Staten Island,NY,40.631127,-74.13715,-5.0,1.0,"40.631127,-74.13715"
10021,132,New York,NY,40.76842,-73.96045,-5.0,1.0,"40.76842,-73.96045"
11356,131,College Point,NY,40.785462,-73.84366,-5.0,1.0,"40.785462,-73.84366"
10028,131,New York,NY,40.776777,-73.9541,-5.0,1.0,"40.776777,-73.9541"
10012,128,New York,NY,40.72596,-73.99834,-5.0,1.0,"40.72596,-73.99834"
10471,127,Bronx,NY,40.900819,-73.90347,-5.0,1.0,"40.900819,-73.90347"
11369,125,East Elmhurst,NY,40.762854,-73.87051,-5.0,1.0,"40.762854,-73.87051"
10014,124,New York,NY,40.734718,-74.00532,-5.0,1.0,"40.734718,-74.00532"
11232,124,Brooklyn,NY,40.655481,-74.00424,-5.0,1.0,"40.655481,-74.00424"
11222,116,Brooklyn,NY,40.726302000000004,-73.94559,-5.0,1.0,"40.726302,-73.94559"
11231,112,Brooklyn,NY,40.6788,-74.00254,-5.0,1.0,"40.6788,-74.00254"
11428,110,Queens Village,NY,40.719981,-73.74127,-5.0,1.0,"40.719981,-73.74127"
11427,110,Queens Village,NY,40.728235,-73.74781999999999,-5.0,1.0,"40.728235,-73.74782"
11411,107,Cambria Heights,NY,40.693538000000004,-73.73574,-5.0,1.0,"40.693538,-73.73574"
11693,105,Far Rockaway,NY,40.596959000000005,-73.81978000000001,-5.0,1.0,"40.596959,-73.81978"
11215,105,Brooklyn,NY,40.667508000000005,-73.9856,-5.0,1.0,"40.667508,-73.9856"
11249,104,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10010,104,New York,NY,40.739022,-73.98205,-5.0,1.0,"40.739022,-73.98205"
11358,103,Flushing,NY,40.760521999999995,-73.79612,-5.0,1.0,"40.760522,-73.79612"
11414,97,Howard Beach,NY,40.658188,-73.84321,-5.0,1.0,"40.658188,-73.84321"
10017,91,New York,NY,40.752159000000006,-73.97231,-5.0,1.0,"40.752159,-73.97231"
11228,89,Brooklyn,NY,40.617563,-74.01168,-5.0,1.0,"40.617563,-74.01168"
10312,87,Staten Island,NY,40.543116999999995,-74.17628,-5.0,1.0,"40.543117,-74.17628"
10309,81,Staten Island,NY,40.529749,-74.21304,-5.0,1.0,"40.529749,-74.21304"
11379,77,Middle Village,NY,40.716028,-73.87925,-5.0,1.0,"40.716028,-73.87925"
10038,76,New York,NY,40.709677,-74.00365,-5.0,1.0,"40.709677,-74.00365"
11357,75,Whitestone,NY,40.784453000000006,-73.80922,-5.0,1.0,"40.784453,-73.80922"
11370,74,East Elmhurst,NY,40.763015,-73.89052,-5.0,1.0,"40.763015,-73.89052"
11361,71,Bayside,NY,40.763177,-73.77391999999999,-5.0,1.0,"40.763177,-73.77392"
11364,68,Oakland Gardens,NY,40.746718,-73.75994,-5.0,1.0,"40.746718,-73.75994"
11360,58,Bayside,NY,40.780386,-73.78005,-5.0,1.0,"40.780386,-73.78005"
10005,51,New York,NY,40.706019,-74.00858000000001,-5.0,1.0,"40.706019,-74.00858"
10308,49,Staten Island,NY,40.551353000000006,-74.15098,-5.0,1.0,"40.551353,-74.15098"
11426,47,Bellerose,NY,40.732239,-73.72108,-5.0,1.0,"40.732239,-73.72108"
10307,44,Staten Island,NY,40.508274,-74.24387,-5.0,1.0,"40.508274,-74.24387"
11109,35,Long Island City,NY,40.651378,-73.870779,-5.0,1.0,"40.651378,-73.870779"
11366,34,Fresh Meadows,NY,40.726137,-73.79502,-5.0,1.0,"40.726137,-73.79502"
10044,33,New York,NY,40.762174,-73.94917,-5.0,1.0,"40.762174,-73.94917"
10464,30,Bronx,NY,40.857017,-73.78903000000001,-5.0,1.0,"40.857017,-73.78903"
10006,26,New York,NY,40.707904,-74.01342,-5.0,1.0,"40.707904,-74.01342"
10280,26,New York,NY,40.707467,-74.0178,-5.0,1.0,"40.707467,-74.0178"
11362,24,Little Neck,NY,40.759686,-73.73321999999999,-5.0,1.0,"40.759686,-73.73322"
10007,22,New York,NY,40.714754,-74.00721,-5.0,1.0,"40.714754,-74.00721"
11004,17,Glen Oaks,NY,40.742944,-73.70956,-5.0,1.0,"40.742944,-73.70956"
11363,17,Little Neck,NY,40.772636,-73.74644,-5.0,1.0,"40.772636,-73.74644"
10069,12,New York,NY,40.775477,-73.9905,-5.0,1.0,"40.775477,-73.9905"
11040,11,New Hyde Park,NY,40.742901,-73.67895,-5.0,1.0,"40.742901,-73.67895"
10282,8,New York,NY,40.717178999999994,-74.01433,-5.0,1.0,"40.717179,-74.01433"
11001,6,Floral Park,NY,40.7232,-73.70475,-5.0,1.0,"40.7232,-73.70475"
10170,4,New York,NY,40.752859,-73.97608000000001,-5.0,1.0,"40.752859,-73.97608"
10020,3,New York,NY,40.758666999999996,-73.98024000000001,-5.0,1.0,"40.758667,-73.98024"
10162,3,New York,NY,40.769334,-73.94893,-5.0,1.0,"40.769334,-73.94893"
11424,3,Jamaica,NY,40.651378,-73.870779,-5.0,1.0,"40.651378,-73.870779"
10177,2,New York,NY,40.755345,-73.97609,-5.0,1.0,"40.755345,-73.97609"
10168,2,New York,NY,40.751933,-73.976794,-5.0,1.0,"40.751933,-73.976794"
11359,2,Bayside,NY,40.79278,-73.776701,-5.0,1.0,"40.79278,-73.776701"
11242,2,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10176,2,New York,NY,40.75557,-73.978877,-5.0,1.0,"40.75557,-73.978877"
11575,2,Roosevelt,NY,40.679413000000004,-73.58694,-5.0,1.0,"40.679413,-73.58694"
11439,2,Jamaica,NY,40.722008,-73.79082199999999,-5.0,1.0,"40.722008,-73.790822"
10112,1,New York,NY,40.759291,-73.97979000000001,-5.0,1.0,"40.759291,-73.97979"
10103,1,New York,NY,40.760915000000004,-73.97785,-5.0,1.0,"40.760915,-73.97785"
10167,1,New York,NY,40.754862,-73.97495,-5.0,1.0,"40.754862,-73.97495"
10155,1,New York,NY,40.761103999999996,-73.968036,-5.0,1.0,"40.761104,-73.968036"
10118,1,New York,NY,40.748998,-73.986467,-5.0,1.0,"40.748998,-73.986467"
10101,1,New York,NY,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182"
11514,1,Carle Place,NY,40.750132,-73.61328,-5.0,1.0,"40.750132,-73.61328"
10123,1,New York,NY,40.751489,-73.990537,-5.0,1.0,"40.751489,-73.990537"
11430,1,Jamaica,NY,40.650519,-73.79567,-5.0,1.0,"40.650519,-73.79567"
11202,1,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10281,1,New York,NY,40.714643,-74.014958,-5.0,1.0,"40.714643,-74.014958"
11753,1,Jericho,NY,40.786544,-73.53675,-5.0,1.0,"40.786544,-73.53675"
10152,1,New York,NY,40.758611,-73.97223000000001,-5.0,1.0,"40.758611,-73.97223"
11240,1,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
11024,1,Great Neck,NY,40.812886999999996,-73.74094000000001,-5.0,1.0,"40.812887,-73.74094"
10107,1,New York,NY,40.766428999999995,-73.98272800000001,-5.0,1.0,"40.766429,-73.982728"
